Timestamp,ProductionOrderID,LineID,EquipmentID,EquipmentType,ProductID,ProductName,MachineStatus,DowntimeReason,GoodUnitsProduced,ScrapUnitsProduced,TargetRate_units_per_5min,StandardCost_per_unit,SalePrice_per_unit,Availability_Score,Performance_Score,Quality_Score,OEE_Score,Energy_Consumption_kWh
2025-06-01 15:50:00,ORD-1090,LINE3,LINE3-PAL,Palletizer,SKU-3001,8oz Kids Drink,Running,,8,0,600,0.1,0.35,100.0,7.1,100.0,7.1,0
2025-06-01 15:50:00,ORD-1090,LINE3,LINE3-PCK,Packer,SKU-3001,8oz Kids Drink,Running,,9,0,600,0.1,0.35,100.0,2.8,100.0,2.8,0
2025-06-01 15:55:00,ORD-1091,LINE3,LINE3-FIL,Filler,SKU-3001,8oz Kids Drink,Running,,3,0,600,0.1,0.35,100.0,1.0,100.0,1.0,0
2025-06-01 15:55:00,ORD-1091,LINE3,LINE3-PAL,Palletizer,SKU-3001,8oz Kids Drink,Running,,31,1,600,0.1,0.35,100.0,11.5,96.9,11.2,0
2025-06-01 15:55:00,ORD-1091,LINE3,LINE3-PCK,Packer,SKU-3001,8oz Kids Drink,Running,,30,2,600,0.1,0.35,100.0,10.1,93.8,9.5,0
2025-06-01 16:00:00,ORD-1092,LINE3,LINE3-FIL,Filler,SKU-3001,8oz Kids Drink,Stopped,,24,0,600,0.1,0.35,100.0,5.3,100.0,5.3,0
2025-06-01 16:00:00,ORD-1092,LINE3,LINE3-PAL,Palletizer,UNKNOWN,Unknown Product,Stopped,jam,0,0,350,0.45,1.5,100.0,0.0,100.0,0.0,0
2025-06-01 16:00:00,ORD-1092,LINE3,LINE3-PCK,Packer,SKU-3001,8oz Kids Drink,Stopped,,8,1,600,0.1,0.35,100.0,1.4,88.9,1.2,0
2025-06-01 16:20:00,ORD-1096,LINE3,LINE3-FIL,Filler,UNKNOWN,Unknown Product,Running,,0,0,350,0.45,1.5,100.0,0.0,0.0,0.0,0
2025-06-01 16:20:00,ORD-1096,LINE3,LINE3-PAL,Palletizer,SKU-3001,8oz Kids Drink,Running,,1,0,600,0.1,0.35,0.0,0.3,100.0,0.0,0
2025-06-01 16:20:00,ORD-1096,LINE3,LINE3-PCK,Packer,SKU-3001,8oz Kids Drink,Running,,1,0,600,0.1,0.35,100.0,0.3,100.0,0.3,0
2025-06-01 16:25:00,ORD-1097,LINE3,LINE3-FIL,Filler,SKU-3001,8oz Kids Drink,Stopped,,1,0,600,0.1,0.35,100.0,7.5,100.0,7.5,0
2025-06-01 16:25:00,ORD-1097,LINE3,LINE3-PAL,Palletizer,UNKNOWN,Unknown Product,Stopped,jam,0,0,350,0.45,1.5,100.0,0.0,100.0,0.0,0
2025-06-01 16:25:00,ORD-1097,LINE3,LINE3-PCK,Packer,UNKNOWN,Unknown Product,Stopped,,0,0,350,0.45,1.5,100.0,0.0,100.0,0.0,0
2025-06-01 16:50:00,ORD-1002,LINE3,LINE3-FIL,Filler,SKU-3001,8oz Kids Drink,Running,,12,1,600,0.1,0.35,100.0,4.3,92.3,3.9,0
2025-06-01 16:50:00,ORD-1002,LINE3,LINE3-PAL,Palletizer,SKU-3001,8oz Kids Drink,Running,,16,1,600,0.1,0.35,0.0,4.8,94.1,0.0,0
2025-06-01 16:50:00,ORD-1002,LINE3,LINE3-PCK,Packer,SKU-3001,8oz Kids Drink,Running,,14,0,600,0.1,0.35,100.0,4.4,100.0,4.4,0
2025-06-01 16:55:00,ORD-1003,LINE3,LINE3-FIL,Filler,SKU-3001,8oz Kids Drink,Running,,28,2,600,0.1,0.35,100.0,9.9,93.3,9.2,0
2025-06-01 16:55:00,ORD-1003,LINE3,LINE3-PAL,Palletizer,SKU-3001,8oz Kids Drink,Running,,34,1,600,0.1,0.35,100.0,9.9,97.1,9.7,0
2025-06-01 16:55:00,ORD-1003,LINE3,LINE3-PCK,Packer,SKU-3001,8oz Kids Drink,Running,,29,3,600,0.1,0.35,100.0,10.1,90.6,9.2,0
2025-06-01 17:00:00,ORD-1004,LINE3,LINE3-FIL,Filler,UNKNOWN,Unknown Product,Stopped,material_shortage,0,0,350,0.45,1.5,100.0,0.0,100.0,0.0,0
2025-06-01 17:00:00,ORD-1004,LINE3,LINE3-PAL,Palletizer,UNKNOWN,Unknown Product,Stopped,jam,0,0,350,0.45,1.5,100.0,0.0,100.0,0.0,0
2025-06-01 17:00:00,ORD-1004,LINE3,LINE3-PCK,Packer,SKU-3001,8oz Kids Drink,Stopped,,8,0,600,0.1,0.35,100.0,1.5,100.0,1.5,0
2025-06-01 17:05:00,ORD-1005,LINE3,LINE3-PAL,Palletizer,SKU-3001,8oz Kids Drink,Running,,2,0,600,0.1,0.35,0.0,0.6,100.0,0.0,0
2025-06-01 17:05:00,ORD-1005,LINE3,LINE3-PCK,Packer,SKU-3001,8oz Kids Drink,Running,,2,0,600,0.1,0.35,100.0,0.6,100.0,0.6,0
2025-06-01 17:10:00,ORD-1006,LINE3,LINE3-PAL,Palletizer,UNKNOWN,Unknown Product,Stopped,jam,0,0,350,0.45,1.5,100.0,0.0,100.0,0.0,0
2025-06-01 17:10:00,ORD-1006,LINE3,LINE3-PCK,Packer,UNKNOWN,Unknown Product,Stopped,sensor_issue,0,0,350,0.45,1.5,100.0,0.0,100.0,0.0,0
2025-06-01 17:15:00,ORD-1007,LINE1,LINE1-FIL,Filler,SKU-1001,12oz Sparkling Water,Stopped,,16,1,500,0.15,0.5,100.0,9.3,94.1,8.7,0
