Timestamp,ProductionOrderID,LineID,EquipmentID,EquipmentType,ProductID,ProductName,MachineStatus,DowntimeReason,GoodUnitsProduced,ScrapUnitsProduced,TargetRate_units_per_5min,StandardCost_per_unit,SalePrice_per_unit,Availability_Score,Performance_Score,Quality_Score,OEE_Score,Energy_Consumption_kWh
2025-06-01 00:00:00,ORD-1000,1,LINE1-FIL,Filler,SKU-1002,32oz Premium Juice,Stopped,UNP-OPR,0,0,350,0.45,1.5,0.0,0.0,0.0,0.0,0.2
2025-06-01 00:00:00,ORD-1000,1,LINE1-PCK,Packer,SKU-1002,32oz Premium Juice,Running,,221,19,350,0.45,1.5,100.0,68.6,92.1,63.1,1.123
2025-06-01 00:00:00,ORD-1000,1,LINE1-PAL,Palletizer,SKU-1002,32oz Premium Juice,Running,,226,19,350,0.45,1.5,100.0,70.0,92.2,64.6,0.76
2025-06-01 00:00:00,ORD-1009,2,LINE2-FIL,Filler,SKU-3001,8oz Kids Drink,Running,,368,6,550,0.25,0.75,100.0,68.0,98.4,66.9,1.054
2025-06-01 00:00:00,ORD-1009,2,LINE2-PCK,Packer,SKU-3001,8oz Kids Drink,Stopped,UNP-JAM,0,0,550,0.25,0.75,0.0,0.0,0.0,0.0,0.159
2025-06-01 00:00:00,ORD-1009,2,LINE2-PAL,Palletizer,SKU-3001,8oz Kids Drink,Running,,449,8,550,0.25,0.75,100.0,83.1,98.2,81.6,0.613
2025-06-01 00:00:00,ORD-1019,3,LINE3-FIL,Filler,SKU-1002,32oz Premium Juice,Running,,217,18,350,0.45,1.5,100.0,67.1,92.3,62.0,1.474
2025-06-01 00:00:00,ORD-1019,3,LINE3-PCK,Packer,SKU-1002,32oz Premium Juice,Running,,216,18,350,0.45,1.5,100.0,66.9,92.3,61.7,1.103
2025-06-01 00:00:00,ORD-1019,3,LINE3-PAL,Palletizer,SKU-1002,32oz Premium Juice,Running,,285,30,350,0.45,1.5,100.0,90.0,90.5,81.4,0.92
2025-06-01 00:05:00,ORD-1000,1,LINE1-FIL,Filler,SKU-1002,32oz Premium Juice,Stopped,UNP-OPR,0,0,350,0.45,1.5,0.0,0.0,0.0,0.0,0.2
