Timestamp,ProductionOrderID,LineID,EquipmentID,EquipmentType,ProductID,ProductName,MachineStatus,DowntimeReason,GoodUnitsProduced,ScrapUnitsProduced,TargetRate_units_per_5min,StandardCost_per_unit,SalePrice_per_unit,Availability_Score,Performance_Score,Quality_Score,OEE_Score,Energy_Consumption_kWh
2025-06-01 00:05:00,ORD-1001,LINE1,LINE1-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,24,3,500,0.15,0.5,100.0,7.8,88.9,7.0,0
2025-06-01 00:05:00,ORD-1001,LINE1,LINE1-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,23,2,500,0.15,0.5,100.0,6.6,92.0,6.1,0
2025-06-01 00:05:00,ORD-1001,LINE1,LINE1-PCK,Packer,SKU-1001,12oz Sparkling Water,Running,,26,1,500,0.15,0.5,100.0,5.4,96.3,5.2,0
2025-06-01 00:10:00,ORD-1002,LINE1,LINE1-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,11,2,500,0.15,0.5,100.0,3.8,84.6,3.2,0
2025-06-01 00:10:00,ORD-1002,LINE1,LINE1-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,11,0,500,0.15,0.5,100.0,2.9,100.0,2.9,0
2025-06-01 00:10:00,ORD-1002,LINE1,LINE1-PCK,Packer,SKU-1001,12oz Sparkling Water,Running,,10,2,500,0.15,0.5,100.0,2.4,83.3,2.0,0
2025-06-01 00:15:00,ORD-1003,LINE1,LINE1-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,25,0,500,0.15,0.5,100.0,7.3,100.0,7.3,0
2025-06-01 00:15:00,ORD-1003,LINE1,LINE1-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,21,1,500,0.15,0.5,100.0,5.8,95.5,5.5,0
2025-06-01 00:15:00,ORD-1003,LINE1,LINE1-PCK,Packer,SKU-1001,12oz Sparkling Water,Running,,21,4,500,0.15,0.5,100.0,5.0,84.0,4.2,0
2025-06-01 00:20:00,ORD-1004,LINE1,LINE1-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,33,1,500,0.15,0.5,100.0,9.9,97.1,9.6,0
2025-06-01 00:20:00,ORD-1004,LINE1,LINE1-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,29,1,500,0.15,0.5,100.0,7.9,96.7,7.6,0
2025-06-01 00:20:00,ORD-1004,LINE1,LINE1-PCK,Packer,SKU-1001,12oz Sparkling Water,Running,,32,1,500,0.15,0.5,100.0,6.6,97.0,6.4,0
2025-06-01 00:25:00,ORD-1005,LINE1,LINE1-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,33,0,500,0.15,0.5,100.0,9.6,100.0,9.6,0
2025-06-01 00:25:00,ORD-1005,LINE1,LINE1-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,29,0,500,0.15,0.5,100.0,7.6,100.0,7.6,0
