Timestamp,ProductionOrderID,LineID,EquipmentID,EquipmentType,ProductID,ProductName,MachineStatus,DowntimeReason,GoodUnitsProduced,ScrapUnitsProduced,TargetRate_units_per_5min,StandardCost_per_unit,SalePrice_per_unit,Availability_Score,Performance_Score,Quality_Score,OEE_Score
2025-06-01 00:05:00,ORD-1000,1,LINE1-FIL,Filler,SKU-2002,16oz Energy Drink,Running,,277,7,300,0.55,1.75,100.0,94.7,97.5,92.3
2025-06-01 00:05:00,ORD-1000,1,LINE1-PCK,Packer,SKU-2002,16oz Energy Drink,Running,,257,2,300,0.55,1.75,100.0,86.3,99.2,85.7
2025-06-01 00:05:00,ORD-1000,1,LINE1-PAL,Palletizer,SKU-2002,16oz Energy Drink,Running,,232,3,300,0.55,1.75,100.0,78.3,98.7,77.3
2025-06-01 00:10:00,ORD-1000,1,LINE1-FIL,Filler,SKU-2002,16oz Energy Drink,Running,,556,13,300,0.55,1.75,100.0,100.0,97.7,97.7
2025-06-01 00:10:00,ORD-1000,1,LINE1-PCK,Packer,SKU-2002,16oz Energy Drink,Running,,518,2,300,0.55,1.75,100.0,100.0,99.6,99.6
2025-06-01 00:10:00,ORD-1000,1,LINE1-PAL,Palletizer,SKU-2002,16oz Energy Drink,Running,,469,3,300,0.55,1.75,100.0,100.0,99.4,99.4
2025-06-01 00:15:00,ORD-1000,1,LINE1-FIL,Filler,SKU-2002,16oz Energy Drink,Running,,832,22,300,0.55,1.75,100.0,100.0,97.4,97.4
2025-06-01 00:15:00,ORD-1000,1,LINE1-PCK,Packer,SKU-2002,16oz Energy Drink,Running,,777,4,300,0.55,1.75,100.0,100.0,99.5,99.5
2025-06-01 00:15:00,ORD-1000,1,LINE1-PAL,Palletizer,SKU-2002,16oz Energy Drink,Running,,706,4,300,0.55,1.75,100.0,100.0,99.4,99.4
2025-06-01 00:20:00,ORD-1000,1,LINE1-FIL,Filler,SKU-2002,16oz Energy Drink,Running,,1110,29,300,0.55,1.75,100.0,100.0,97.5,97.5
2025-06-01 00:20:00,ORD-1000,1,LINE1-PCK,Packer,SKU-2002,16oz Energy Drink,Running,,1035,7,300,0.55,1.75,100.0,100.0,99.3,99.3
2025-06-01 00:20:00,ORD-1000,1,LINE1-PAL,Palletizer,SKU-2002,16oz Energy Drink,Running,,942,5,300,0.55,1.75,100.0,100.0,99.5,99.5
2025-06-01 00:25:00,ORD-1000,1,LINE1-FIL,Filler,SKU-2002,16oz Energy Drink,Running,,1385,39,300,0.55,1.75,100.0,100.0,97.3,97.3
